Runs,Fault Location (SVI),Fault Location (True),Fault Location (RMSE),Z_fault_real (SVI),Z_fault_real (True),Z_fault_real RMSE,Z_fault_imag (SVI),Z_fault_imag (True),Z_fault_imag RMSE
1,0.6083855628967285,0.5916216373443604,0.016763925552368164,0.5159608125686646,0.5311282873153687,0.015167474746704102,0.6595534086227417,0.45853307843208313,0.20102033019065857
2,0.490671306848526,0.488372802734375,0.002298504114151001,0.44062715768814087,0.465305358171463,0.024678200483322144,0.7461033463478088,0.8094111680984497,0.06330782175064087
3,0.5071071982383728,0.5074268579483032,0.0003196597099304199,0.29840946197509766,0.29578539729118347,0.0026240646839141846,0.6399984359741211,0.6413469314575195,0.0013484954833984375
4,0.3117285668849945,0.3167511820793152,0.005022615194320679,0.34242701530456543,0.3497021794319153,0.0072751641273498535,0.5147241950035095,0.4981895685195923,0.016534626483917236
5,0.40653640031814575,0.4031884968280792,0.0033479034900665283,0.38198548555374146,0.3850497603416443,0.003064274787902832,0.7121530175209045,0.6767340302467346,0.03541898727416992
6,0.36389514803886414,0.36167922616004944,0.0022159218788146973,0.5262358784675598,0.5191441178321838,0.0070917606353759766,0.48660942912101746,0.44432538747787476,0.0422840416431427
7,0.37613749504089355,0.38557377457618713,0.009436279535293579,0.5036700963973999,0.49107590317726135,0.01259419322013855,0.32158905267715454,0.27400273084640503,0.04758632183074951
8,0.3308835029602051,0.33025360107421875,0.0006299018859863281,0.603913426399231,0.5939934849739075,0.009919941425323486,0.5043659210205078,0.47149258852005005,0.032873332500457764
9,0.6690645217895508,0.6728478074073792,0.003783285617828369,0.3937302231788635,0.41836416721343994,0.024633944034576416,0.6467373967170715,0.727588415145874,0.08085101842880249
10,0.5090165138244629,0.5085525512695312,0.0004639625549316406,0.22965377569198608,0.22784069180488586,0.0018130838871002197,0.5120442509651184,0.5189976096153259,0.0069533586502075195
11,0.3802354037761688,0.37231746315956116,0.007917940616607666,0.3002912998199463,0.3001435399055481,0.00014775991439819336,0.5562679767608643,0.6408151388168335,0.08454716205596924
12,0.55362868309021,0.5534721612930298,0.00015652179718017578,0.37419670820236206,0.37495431303977966,0.0007576048374176025,0.5711566805839539,0.6285688281059265,0.057412147521972656
13,0.5497230291366577,0.5499100685119629,0.00018703937530517578,0.5918447971343994,0.591078519821167,0.0007662773132324219,0.6850197315216064,0.8020556569099426,0.11703592538833618
14,0.6448183655738831,0.650325357913971,0.005506992340087891,0.6383488774299622,0.6277540326118469,0.010594844818115234,0.511500358581543,0.3736223876476288,0.13787797093391418
15,0.5429527163505554,0.5415648221969604,0.0013878941535949707,0.42286109924316406,0.41101235151290894,0.011848747730255127,0.27574363350868225,0.27117541432380676,0.004568219184875488
16,0.4373011887073517,0.4381178319454193,0.000816643238067627,0.270253449678421,0.26419275999069214,0.006060689687728882,0.5647721290588379,0.545207142829895,0.01956498622894287
17,0.538564920425415,0.700760543346405,0.16219562292099,0.412362664937973,0.2863679528236389,0.1259947121143341,0.7141287326812744,0.3368098735809326,0.3773188591003418
18,0.3027680516242981,0.3043273091316223,0.0015592575073242188,0.5075685381889343,0.5208953619003296,0.013326823711395264,0.6239474415779114,0.6073477864265442,0.016599655151367188
19,0.6144183874130249,0.629387617111206,0.014969229698181152,0.6626463532447815,0.7080540060997009,0.045407652854919434,0.6892461776733398,0.654710054397583,0.034536123275756836
20,0.30244719982147217,0.3064630925655365,0.004015892744064331,0.4854816794395447,0.49475422501564026,0.009272545576095581,0.5304082632064819,0.5876339673995972,0.057225704193115234
21,0.5588127374649048,0.6963112950325012,0.13749855756759644,0.7594599723815918,0.5878736972808838,0.171586275100708,0.5857952833175659,0.5391786098480225,0.04661667346954346
22,0.6280757188796997,0.6256886124610901,0.002387106418609619,0.3314579725265503,0.3585968017578125,0.027138829231262207,0.41146188974380493,0.35303357243537903,0.0584283173084259
23,0.5505567789077759,0.23074869811534882,0.31980808079242706,0.8194577097892761,0.44751986861228943,0.3719378411769867,0.14305031299591064,0.6113439202308655,0.46829360723495483
24,0.5590850710868835,0.211959570646286,0.34712550044059753,0.8281919956207275,0.39301514625549316,0.4351768493652344,0.12027550488710403,0.3418920040130615,0.2216164991259575
25,0.5257177352905273,0.5266925692558289,0.0009748339653015137,0.3763576149940491,0.3905683159828186,0.014210700988769531,0.5929067730903625,0.6100019812583923,0.017095208168029785
26,0.4974435269832611,0.49712756276130676,0.0003159642219543457,0.24851486086845398,0.24448275566101074,0.004032105207443237,0.5573920607566833,0.5884586572647095,0.031066596508026123
27,0.3706352710723877,0.3739857077598572,0.0033504366874694824,0.5192197561264038,0.4933144450187683,0.025905311107635498,0.569242000579834,0.6762360334396362,0.10699403285980225
28,0.674418568611145,0.6733587384223938,0.0010598301887512207,0.41086527705192566,0.41478821635246277,0.003922939300537109,0.5217368602752686,0.6100839972496033,0.08834713697433472
29,0.6640926599502563,0.6645245552062988,0.00043189525604248047,0.33373305201530457,0.32192811369895935,0.011804938316345215,0.4729997217655182,0.4101741909980774,0.0628255307674408
30,0.5562688112258911,0.5594381093978882,0.0031692981719970703,0.3668687641620636,0.36831989884376526,0.0014511346817016602,0.5203115940093994,0.5448558926582336,0.02454429864883423
31,0.5590304136276245,0.5579888820648193,0.0010415315628051758,0.6231309771537781,0.641590416431427,0.018459439277648926,0.6295714974403381,0.5976078510284424,0.03196364641189575
32,0.49926912784576416,0.4996820092201233,0.00041288137435913086,0.46410489082336426,0.464496374130249,0.0003914833068847656,0.6389759182929993,0.74240642786026,0.10343050956726074
33,0.47141969203948975,0.4750601053237915,0.003640413284301758,0.47212111949920654,0.4544898271560669,0.01763129234313965,0.29071369767189026,0.21264232695102692,0.07807137072086334
34,0.6425086259841919,0.638856053352356,0.0036525726318359375,0.3879774212837219,0.38430649042129517,0.003670930862426758,0.6867779493331909,0.7105156779289246,0.023737728595733643
35,0.5419620275497437,0.6982425451278687,0.156280517578125,0.4124106764793396,0.27097833156585693,0.14143234491348267,0.6580226421356201,0.3160877823829651,0.34193485975265503
36,0.4401835501194,0.45105233788490295,0.01086878776550293,0.464015930891037,0.457851380109787,0.00616455078125,0.28168192505836487,0.2648242115974426,0.01685771346092224
37,0.4623897969722748,0.45406374335289,0.008326053619384766,0.7413652539253235,0.7518183588981628,0.010453104972839355,0.4228200912475586,0.3447127640247345,0.0781073272228241
38,0.5020886063575745,0.49620142579078674,0.00588718056678772,0.7742634415626526,0.818634033203125,0.04437059164047241,0.5817732810974121,0.44774624705314636,0.13402703404426575
39,0.46602344512939453,0.4688590168952942,0.002835571765899658,0.7021186947822571,0.6682511568069458,0.03386753797531128,0.5879771113395691,0.7185149192810059,0.13053780794143677
40,0.5603066682815552,0.6855570673942566,0.12525039911270142,0.6745518445968628,0.529613733291626,0.14493811130523682,0.6034852862358093,0.3802512288093567,0.22323405742645264
41,0.6314395666122437,0.6343672871589661,0.002927720546722412,0.12607982754707336,0.12416061758995056,0.0019192099571228027,0.37247440218925476,0.37403419613838196,0.0015597939491271973
42,0.6417465209960938,0.6489554047584534,0.007208883762359619,0.3871065080165863,0.3845261037349701,0.002580404281616211,0.4786783456802368,0.4454995393753052,0.03317880630493164
43,0.5679031014442444,0.5664547085762024,0.0014483928680419922,0.6640899777412415,0.6409202218055725,0.023169755935668945,0.5431315302848816,0.45941635966300964,0.08371517062187195
44,0.32655543088912964,0.3334572911262512,0.006901860237121582,0.7136318683624268,0.7147127985954285,0.001080930233001709,0.5653433799743652,0.3782327473163605,0.18711063265800476
