Runs,Fault Location (SVI),Fault Location (True),Fault Location (RMSE),Z_fault_real (SVI),Z_fault_real (True),Z_fault_real RMSE,Z_fault_imag (SVI),Z_fault_imag (True),Z_fault_imag RMSE
1,0.5865271091461182,0.5916216373443604,0.0050945281982421875,0.562493622303009,0.5311282873153687,0.03136533498764038,0.5051299333572388,0.45853307843208313,0.04659685492515564
2,0.4942036271095276,0.4971909821033478,0.0029873549938201904,0.3060598373413086,0.30653178691864014,0.00047194957733154297,0.7511326670646667,0.6873583793640137,0.06377428770065308
3,0.5362839698791504,0.5255369544029236,0.010747015476226807,0.7258147597312927,0.7304494380950928,0.004634678363800049,0.5762064456939697,0.7138644456863403,0.1376579999923706
4,0.47447705268859863,0.4833904504776001,0.008913397789001465,0.6033136248588562,0.6068834662437439,0.0035698413848876953,0.3436073362827301,0.5970927476882935,0.25348541140556335
5,0.5579780340194702,0.5597627758979797,0.0017847418785095215,0.4937300682067871,0.5212404727935791,0.027510404586791992,0.6737383008003235,0.8252137899398804,0.15147548913955688
6,0.5362564921379089,0.5058714151382446,0.030385076999664307,0.5042072534561157,0.5740432739257812,0.06983602046966553,0.5570362210273743,0.6734670996665955,0.11643087863922119
7,0.40052247047424316,0.4343370795249939,0.03381460905075073,0.7199631929397583,0.6919940710067749,0.0279691219329834,0.5919365286827087,0.7411132454872131,0.1491767168045044
8,0.5463963150978088,0.5526477098464966,0.006251394748687744,0.554776668548584,0.5599036812782288,0.005127012729644775,0.46166396141052246,0.3810531795024872,0.08061078190803528
9,0.7144263982772827,0.7044554948806763,0.009970903396606445,0.6809175610542297,0.713542103767395,0.03262454271316528,0.5750176310539246,0.4560140371322632,0.11900359392166138
10,0.4628097116947174,0.4494110941886902,0.013398617506027222,0.24738675355911255,0.27276715636253357,0.02538040280342102,0.21972204744815826,0.25039130449295044,0.030669257044792175
11,0.5952103734016418,0.610593855381012,0.015383481979370117,0.48768290877342224,0.4634818434715271,0.02420106530189514,0.4799720346927643,0.628710925579071,0.14873889088630676
12,0.7524957060813904,0.7615042924880981,0.009008586406707764,0.5410799980163574,0.4991503953933716,0.04192960262298584,0.6361183524131775,0.5339658856391907,0.10215246677398682
