Runs,Fault Location (SVI),Fault Location (True),Fault Location (RMSE),Z_fault_real (SVI),Z_fault_real (True),Z_fault_real RMSE,Z_fault_imag (SVI),Z_fault_imag (True),Z_fault_imag RMSE
1,0.6054501533508301,0.5916216373443604,0.013828516006469727,0.531274676322937,0.5311282873153687,0.00014638900756835938,0.5016734600067139,0.45853307843208313,0.04314038157463074
2,0.42028796672821045,0.4971909821033478,0.07690301537513733,0.4607430398464203,0.30653178691864014,0.15421125292778015,0.5022677183151245,0.6873583793640137,0.18509066104888916
3,0.586296558380127,0.5255369544029236,0.06075960397720337,0.5688918828964233,0.7304494380950928,0.16155755519866943,0.49753236770629883,0.7138644456863403,0.2163320779800415
4,0.4345549941062927,0.4833904504776001,0.04883545637130737,0.5325606465339661,0.6068834662437439,0.07432281970977783,0.4630095064640045,0.5970927476882935,0.13408324122428894
5,0.5747409462928772,0.5597627758979797,0.014978170394897461,0.4872190058231354,0.5212404727935791,0.034021466970443726,0.5055302381515503,0.8252137899398804,0.3196835517883301
6,0.5103743076324463,0.5058714151382446,0.00450289249420166,0.5318600535392761,0.5740432739257812,0.04218322038650513,0.4879399538040161,0.6734670996665955,0.18552714586257935
7,0.5814730525016785,0.4343370795249939,0.14713597297668457,0.5589146614074707,0.6919940710067749,0.1330794095993042,0.5253901481628418,0.7411132454872131,0.21572309732437134
8,0.5299251079559326,0.5526477098464966,0.022722601890563965,0.5458455085754395,0.5599036812782288,0.014058172702789307,0.5020971298217773,0.3810531795024872,0.12104395031929016
9,0.5983529090881348,0.7044554948806763,0.1061025857925415,0.548953115940094,0.713542103767395,0.16458898782730103,0.49619072675704956,0.4560140371322632,0.04017668962478638
10,0.603586733341217,0.4494110941886902,0.15417563915252686,0.5604581236839294,0.27276715636253357,0.2876909673213959,0.49839240312576294,0.25039130449295044,0.2480010986328125
11,0.5715318918228149,0.610593855381012,0.03906196355819702,0.5250527262687683,0.4634818434715271,0.06157088279724121,0.49304336309432983,0.628710925579071,0.1356675624847412
13,0.6190332770347595,0.5855393409729004,0.03349393606185913,0.5183219313621521,0.5503504872322083,0.03202855587005615,0.49915626645088196,0.7245625853538513,0.22540631890296936
14,0.42477676272392273,0.28098824620246887,0.14378851652145386,0.5917387008666992,0.41123080253601074,0.18050789833068848,0.4788764417171478,0.4390009641647339,0.03987547755241394
15,0.5757367014884949,0.5438079833984375,0.03192871809005737,0.5205448865890503,0.6355285048484802,0.11498361825942993,0.48768341541290283,0.4988931119441986,0.011209696531295776
16,0.37142038345336914,0.32747676968574524,0.0439436137676239,0.4209396541118622,0.5857412219047546,0.16480156779289246,0.5118231773376465,0.31449463963508606,0.19732853770256042
18,0.4190238118171692,0.5136194825172424,0.09459567070007324,0.42803192138671875,0.6328850984573364,0.20485317707061768,0.5261660814285278,0.7935448884963989,0.2673788070678711
19,0.6206192970275879,0.3791075050830841,0.24151179194450378,0.4473671019077301,0.8089934587478638,0.36162635684013367,0.5215160250663757,0.5552375912666321,0.03372156620025635
20,0.4765908420085907,0.35880792140960693,0.11778292059898376,0.4566832482814789,0.34031352400779724,0.11636972427368164,0.5035778880119324,0.1972699910402298,0.3063078969717026
21,0.5847938656806946,0.5596422553062439,0.025151610374450684,0.4986751079559326,0.4917168915271759,0.006958216428756714,0.515495777130127,0.2025216817855835,0.31297409534454346
22,0.5182802081108093,0.5446908473968506,0.02641063928604126,0.5295717716217041,0.3204549551010132,0.20911681652069092,0.5090053677558899,0.3126365542411804,0.19636881351470947
23,0.5337222814559937,0.6234424114227295,0.08972012996673584,0.5211971402168274,0.19780786335468292,0.32338927686214447,0.4997207820415497,0.6037551760673523,0.10403439402580261
