Runs,Fault Location (SVI),Fault Location (True),Fault Location (RMSE),Z_fault_real (SVI),Z_fault_real (True),Z_fault_real RMSE,Z_fault_imag (SVI),Z_fault_imag (True),Z_fault_imag RMSE
1,0.6206753849983215,0.5916216373443604,0.02905374765396118,0.4819446802139282,0.5311282873153687,0.04918360710144043,0.596197247505188,0.45853307843208313,0.13766416907310486
2,0.5005459189414978,0.488372802734375,0.012173116207122803,0.37640389800071716,0.465305358171463,0.08890146017074585,0.5644381642341614,0.8094111680984497,0.24497300386428833
3,0.5054472088813782,0.5074268579483032,0.001979649066925049,0.3380615711212158,0.29578539729118347,0.04227617383003235,0.5623961091041565,0.6413469314575195,0.07895082235336304
4,0.29320603609085083,0.3167511820793152,0.023545145988464355,0.33108416199684143,0.3497021794319153,0.018618017435073853,0.5235611200332642,0.4981895685195923,0.025371551513671875
5,0.44810616970062256,0.4031884968280792,0.044917672872543335,0.365651398897171,0.3850497603416443,0.019398361444473267,0.6351646780967712,0.6767340302467346,0.04156935214996338
6,0.3837827444076538,0.36167922616004944,0.02210351824760437,0.5576579570770264,0.5191441178321838,0.03851383924484253,0.5231338739395142,0.44432538747787476,0.0788084864616394
7,0.34124577045440674,0.38557377457618713,0.044328004121780396,0.5462832450866699,0.49107590317726135,0.05520734190940857,0.48869436979293823,0.27400273084640503,0.2146916389465332
8,0.3657487630844116,0.33025360107421875,0.03549516201019287,0.6322348713874817,0.5939934849739075,0.03824138641357422,0.5035302639007568,0.47149258852005005,0.03203767538070679
9,0.6581131219863892,0.6728478074073792,0.01473468542098999,0.338420033454895,0.41836416721343994,0.07994413375854492,0.4971954822540283,0.727588415145874,0.2303929328918457
10,0.5046634674072266,0.5085525512695312,0.0038890838623046875,0.24500912427902222,0.22784069180488586,0.017168432474136353,0.4851027727127075,0.5189976096153259,0.03389483690261841
11,0.3992403447628021,0.37231746315956116,0.026922881603240967,0.2976732552051544,0.3001435399055481,0.0024702847003936768,0.3993878960609436,0.6408151388168335,0.2414272427558899
12,0.5518389344215393,0.5534721612930298,0.0016332268714904785,0.40339744091033936,0.37495431303977966,0.028443127870559692,0.46811938285827637,0.6285688281059265,0.16044944524765015
13,0.5503415465354919,0.5499100685119629,0.00043147802352905273,0.5628817081451416,0.591078519821167,0.02819681167602539,0.5188117623329163,0.8020556569099426,0.28324389457702637
14,0.6082203388214111,0.650325357913971,0.042105019092559814,0.5880710482597351,0.6277540326118469,0.039682984352111816,0.5038728713989258,0.3736223876476288,0.130250483751297
15,0.5433714389801025,0.5415648221969604,0.0018066167831420898,0.5171579718589783,0.41101235151290894,0.10614562034606934,0.4536685347557068,0.27117541432380676,0.18249312043190002
16,0.4376925826072693,0.4381178319454193,0.0004252493381500244,0.3101562559604645,0.26419275999069214,0.04596349596977234,0.5677980780601501,0.545207142829895,0.022590935230255127
18,0.6900719404220581,0.700760543346405,0.010688602924346924,0.33707332611083984,0.2863679528236389,0.05070537328720093,0.4334810972213745,0.3368098735809326,0.0966712236404419
19,0.306607186794281,0.3043273091316223,0.0022798776626586914,0.49305033683776855,0.5208953619003296,0.027845025062561035,0.5409246683120728,0.6073477864265442,0.06642311811447144
20,0.6039987802505493,0.629387617111206,0.02538883686065674,0.5671084523200989,0.7080540060997009,0.14094555377960205,0.579914927482605,0.654710054397583,0.07479512691497803
22,0.28713762760162354,0.3064630925655365,0.019325464963912964,0.4511186480522156,0.49475422501564026,0.04363557696342468,0.45080292224884033,0.5876339673995972,0.13683104515075684
25,0.7270650863647461,0.6963112950325012,0.030753791332244873,0.6100399494171143,0.5878736972808838,0.02216625213623047,0.4925708472728729,0.5391786098480225,0.046607762575149536
26,0.6236993074417114,0.6256886124610901,0.001989305019378662,0.26603323221206665,0.3585968017578125,0.09256356954574585,0.521793007850647,0.35303357243537903,0.16875943541526794
27,0.6021500825881958,0.23074869811534882,0.371401384472847,0.7278918623924255,0.44751986861228943,0.2803719937801361,0.4764687120914459,0.6113439202308655,0.13487520813941956
28,0.5282955765724182,0.211959570646286,0.3163360059261322,0.6681232452392578,0.39301514625549316,0.27510809898376465,0.41946941614151,0.3418920040130615,0.07757741212844849
29,0.534331202507019,0.5266925692558289,0.0076386332511901855,0.3596624433994293,0.3905683159828186,0.030905872583389282,0.5059533715248108,0.6100019812583923,0.10404860973358154
30,0.49375391006469727,0.49712756276130676,0.003373652696609497,0.28811654448509216,0.24448275566101074,0.04363378882408142,0.454360693693161,0.5884586572647095,0.13409796357154846
31,0.3607340157032013,0.3739857077598572,0.013251692056655884,0.6232035160064697,0.4933144450187683,0.12988907098770142,0.4672558605670929,0.6762360334396362,0.20898017287254333
32,0.5543869137763977,0.6733587384223938,0.1189718246459961,0.5009173154830933,0.41478821635246277,0.0861290991306305,0.4834709167480469,0.6100839972496033,0.1266130805015564
33,0.6493551731109619,0.6645245552062988,0.015169382095336914,0.4456102252006531,0.32192811369895935,0.12368211150169373,0.5449037551879883,0.4101741909980774,0.1347295641899109
34,0.5444198250770569,0.5594381093978882,0.015018284320831299,0.3825051784515381,0.36831989884376526,0.014185279607772827,0.4773688316345215,0.5448558926582336,0.06748706102371216
36,0.6408165097236633,0.5579888820648193,0.082827627658844,0.5264434218406677,0.641590416431427,0.11514699459075928,0.5078840255737305,0.5976078510284424,0.08972382545471191
37,0.48522627353668213,0.4996820092201233,0.014455735683441162,0.4646115303039551,0.464496374130249,0.00011515617370605469,0.49170029163360596,0.74240642786026,0.25070613622665405
38,0.4166644811630249,0.4750601053237915,0.0583956241607666,0.5462885499000549,0.4544898271560669,0.09179872274398804,0.48500654101371765,0.21264232695102692,0.27236421406269073
39,0.6607381105422974,0.638856053352356,0.021882057189941406,0.4428781569004059,0.38430649042129517,0.05857166647911072,0.553666353225708,0.7105156779289246,0.15684932470321655
41,0.7207529544830322,0.6982425451278687,0.022510409355163574,0.37991613149642944,0.27097833156585693,0.10893779993057251,0.5000536441802979,0.3160877823829651,0.18396586179733276
42,0.4146728217601776,0.45105233788490295,0.03637951612472534,0.4671153724193573,0.457851380109787,0.009263992309570312,0.46609029173851013,0.2648242115974426,0.2012660801410675
43,0.5006543397903442,0.45406374335289,0.046590596437454224,0.6660005450248718,0.7518183588981628,0.08581781387329102,0.49669361114501953,0.3447127640247345,0.15198084712028503
44,0.5128920674324036,0.49620142579078674,0.01669064164161682,0.6598417162895203,0.818634033203125,0.15879231691360474,0.5146053433418274,0.44774624705314636,0.06685909628868103
45,0.467704713344574,0.4688590168952942,0.0011543035507202148,0.6741793155670166,0.6682511568069458,0.005928158760070801,0.49193137884140015,0.7185149192810059,0.2265835404396057
47,0.5503305196762085,0.6855570673942566,0.1352265477180481,0.586166501045227,0.529613733291626,0.056552767753601074,0.4952639639377594,0.3802512288093567,0.11501273512840271
48,0.6193840503692627,0.6343672871589661,0.01498323678970337,0.1446998417377472,0.12416061758995056,0.02053922414779663,0.3552144765853882,0.37403419613838196,0.018819719552993774
49,0.6128360033035278,0.6489554047584534,0.03611940145492554,0.4510422646999359,0.3845261037349701,0.06651616096496582,0.5364105105400085,0.4454995393753052,0.09091097116470337
50,0.6153824925422668,0.5664547085762024,0.04892778396606445,0.6421279907226562,0.6409202218055725,0.0012077689170837402,0.5084111094474792,0.45941635966300964,0.048994749784469604
52,0.3158547282218933,0.3334572911262512,0.01760256290435791,0.6650654673576355,0.7147127985954285,0.04964733123779297,0.5560880303382874,0.3782327473163605,0.17785528302192688
53,0.49441981315612793,0.49565085768699646,0.0012310445308685303,0.15346355736255646,0.14186710119247437,0.011596456170082092,0.3197189271450043,0.3363621234893799,0.01664319634437561
54,0.5091241598129272,0.2811530828475952,0.22797107696533203,0.7468617558479309,0.5618876814842224,0.1849740743637085,0.4705488681793213,0.4731147289276123,0.0025658607482910156
55,0.4904627799987793,0.48164933919906616,0.008813440799713135,0.5565409660339355,0.6138229370117188,0.0572819709777832,0.46414968371391296,0.5087031722068787,0.0445534884929657
56,0.5635427832603455,0.5422909259796143,0.0212518572807312,0.32347625494003296,0.351546972990036,0.028070718050003052,0.4174264669418335,0.5022432804107666,0.0848168134689331
58,0.49768075346946716,0.5025614500045776,0.004880696535110474,0.4276440143585205,0.3565974235534668,0.07104659080505371,0.4832729995250702,0.49869316816329956,0.01542016863822937
59,0.6185309886932373,0.5630616545677185,0.0554693341255188,0.374029278755188,0.44091784954071045,0.06688857078552246,0.5492019653320312,0.5401094555854797,0.009092509746551514
60,0.5259292125701904,0.15048560500144958,0.37544360756874084,0.7271668910980225,0.5583698153495789,0.1687970757484436,0.4735136330127716,0.46048882603645325,0.01302480697631836
61,0.6140764951705933,0.5772739052772522,0.036802589893341064,0.6365504860877991,0.6703786849975586,0.03382819890975952,0.5256938338279724,0.7377279996871948,0.2120341658592224
62,0.47985509037971497,0.48623356223106384,0.006378471851348877,0.5865322351455688,0.6381403207778931,0.05160808563232422,0.49378702044487,0.3780561685562134,0.11573085188865662
63,0.27915287017822266,0.26519086956977844,0.013962000608444214,0.2505318522453308,0.2505938410758972,6.198883056640625e-05,0.5209409594535828,0.564401388168335,0.0434604287147522
64,0.38794463872909546,0.34893563389778137,0.03900900483131409,0.6145520210266113,0.7191260457038879,0.10457402467727661,0.5515037775039673,0.6893067359924316,0.13780295848846436
66,0.33915460109710693,0.31748467683792114,0.02166992425918579,0.4325324594974518,0.47465887665748596,0.04212641716003418,0.546934187412262,0.5706415176391602,0.023707330226898193
