parameter,q_mean_normalized,true_normalized,error
load_1.C_m_leak,0.251003623008728,0.25,0.0010036230087280273
load_20.C_m_leak,0.2581525146961212,0.25,0.008152514696121216
load_0.C_m_leak,0.26997363567352295,0.25,0.01997363567352295
load_11.C_m_leak,0.35041576623916626,0.25,0.10041576623916626
load_9.C_m_leak,0.22423285245895386,0.25,-0.025767147541046143
load_2.C_leak,0.25794076919555664,0.25,0.00794076919555664
load_3.C_m_leak,0.18100565671920776,0.25,-0.06899434328079224
load_15.C_m_leak,0.23995903134346008,0.25,-0.010040968656539917
load_8.C_m_leak,0.2537349462509155,0.25,0.0037349462509155273
load_6.C_m_leak,0.2710224688053131,0.25,0.02102246880531311
load_18.C_m_leak,0.2798507511615753,0.25,0.029850751161575317
load_21.C_leak,0.2527376413345337,0.25,0.0027376413345336914
l_w_4,0.28508642315864563,0.25,0.03508642315864563
load_2.R_const,0.2524440884590149,0.25,0.0024440884590148926
l_w_3,0.28447771072387695,0.25,0.03447771072387695
load_1.C_m,0.31430914998054504,0.25,0.06430914998054504
l_w_1,0.15986183285713196,0.25,-0.09013816714286804
load_13.C_leak,0.17274025082588196,0.25,-0.07725974917411804
load_7.C_d_leak,0.21592122316360474,0.25,-0.034078776836395264
load_14.C_leak,0.29249370098114014,0.25,0.04249370098114014
load_21.R_const,0.28945186734199524,0.25,0.03945186734199524
load_0.C_m,0.13200123608112335,0.25,-0.11799876391887665
load_19.R_const,0.31639164686203003,0.25,0.06639164686203003
load_4.C_d_leak,0.21248623728752136,0.25,-0.03751376271247864
load_16.C_d_leak,0.2595091462135315,0.25,0.009509146213531494
l_w_25,0.29540881514549255,0.25,0.045408815145492554
load_20.C_m,0.2764812409877777,0.25,0.02648124098777771
load_10.C_d_leak,0.24851587414741516,0.25,-0.0014841258525848389
l_w_28,0.2866731882095337,0.25,0.03667318820953369
load_19.C_leak,0.2769056260585785,0.25,0.02690562605857849
l_w_27,0.15103425085544586,0.25,-0.09896574914455414
load_11.C_m,0.4007473587989807,0.25,0.1507473587989807
load_5.R_const,0.27315065264701843,0.25,0.023150652647018433
load_17.R_const,0.27544915676116943,0.25,0.025449156761169434
load_9.C_m,0.29468590021133423,0.25,0.04468590021133423
load_12.C_leak,0.26151198148727417,0.25,0.01151198148727417
l_w_14,0.20627501606941223,0.25,-0.04372498393058777
l_w_9,0.08783327043056488,0.25,-0.16216672956943512
l_w_24,0.2244129776954651,0.25,-0.025587022304534912
l_w_19,0.33511224389076233,0.25,0.08511224389076233
load_12.R_const,0.2746891677379608,0.25,0.024689167737960815
load_3.C_m,0.20249024033546448,0.25,-0.04750975966453552
load_15.C_m,0.22198565304279327,0.25,-0.028014346957206726
load_8.C_m,0.32317695021629333,0.25,0.07317695021629333
l_w_0,0.29628193378448486,0.25,0.04628193378448486
l_w_2,0.14713500440120697,0.25,-0.10286499559879303
load_14.R_const,0.4862801432609558,0.25,0.2362801432609558
load_13.R_const,0.5636054277420044,0.25,0.3136054277420044
load_5.C_leak,0.2465827912092209,0.25,-0.0034172087907791138
load_17.C_leak,0.22939489781856537,0.25,-0.02060510218143463
load_6.C_m,0.3159121870994568,0.25,0.06591218709945679
load_18.C_m,0.3254007399082184,0.25,0.07540073990821838
l_w_18,0.3618015944957733,0.25,0.11180159449577332
l_w_16,0.4505000710487366,0.25,0.20050007104873657
