parameter,q_mean_normalized,true_normalized,error
load_1.C_m_leak,0.2195586860179901,0.25,-0.030441313982009888
load_20.C_m_leak,0.27416473627090454,0.25,0.02416473627090454
load_0.C_m_leak,0.21663077175617218,0.25,-0.03336922824382782
load_11.C_m_leak,0.34024959802627563,0.25,0.09024959802627563
load_9.C_m_leak,0.19876384735107422,0.25,-0.05123615264892578
load_2.C_leak,0.5075090527534485,0.25,0.2575090527534485
load_3.C_m_leak,0.2370768040418625,0.25,-0.012923195958137512
load_15.C_m_leak,0.23687002062797546,0.25,-0.013129979372024536
load_8.C_m_leak,0.2621350884437561,0.25,0.012135088443756104
load_6.C_m_leak,0.29126429557800293,0.25,0.04126429557800293
load_18.C_m_leak,0.28889012336730957,0.25,0.03889012336730957
load_21.C_leak,0.4529441297054291,0.25,0.20294412970542908
l_w_4,0.23037683963775635,0.25,-0.019623160362243652
load_2.R_const,0.5910048484802246,0.25,0.3410048484802246
l_w_3,0.3372496962547302,0.25,0.08724969625473022
load_1.C_m,0.441072553396225,0.25,0.19107255339622498
l_w_1,0.28847700357437134,0.25,0.03847700357437134
load_13.C_leak,0.4626252055168152,0.25,0.21262520551681519
load_7.C_d_leak,0.46166592836380005,0.25,0.21166592836380005
load_14.C_leak,0.3885679841041565,0.25,0.1385679841041565
load_21.R_const,0.5205246806144714,0.25,0.27052468061447144
load_0.C_m,0.37316006422042847,0.25,0.12316006422042847
load_19.R_const,0.4932730495929718,0.25,0.2432730495929718
load_4.C_d_leak,0.20477400720119476,0.25,-0.04522599279880524
load_16.C_d_leak,0.19654275476932526,0.25,-0.053457245230674744
l_w_25,0.22638508677482605,0.25,-0.02361491322517395
load_20.C_m,0.4643721580505371,0.25,0.2143721580505371
load_10.C_d_leak,0.2311229556798935,0.25,-0.018877044320106506
l_w_28,0.26083099842071533,0.25,0.010830998420715332
load_19.C_leak,0.46570831537246704,0.25,0.21570831537246704
l_w_27,0.35934746265411377,0.25,0.10934746265411377
load_11.C_m,0.46663522720336914,0.25,0.21663522720336914
load_5.R_const,0.4790404736995697,0.25,0.2290404736995697
load_17.R_const,0.4740712344646454,0.25,0.22407123446464539
load_9.C_m,0.38081035017967224,0.25,0.13081035017967224
load_12.C_leak,0.4509435296058655,0.25,0.20094352960586548
l_w_14,0.31145554780960083,0.25,0.06145554780960083
l_w_9,0.321281760931015,0.25,0.07128176093101501
l_w_24,0.3210146129131317,0.25,0.07101461291313171
l_w_19,0.3518792986869812,0.25,0.1018792986869812
