Runs,Fault Location (SVI),Fault Location (True),Fault Location (RMSE),Z_fault_real (SVI),Z_fault_real (True),Z_fault_real RMSE,Z_fault_imag (SVI),Z_fault_imag (True),Z_fault_imag RMSE
1,0.6102060675621033,0.5916216373443604,0.01858443021774292,0.5332987308502197,0.5311282873153687,0.0021704435348510742,0.5129866600036621,0.45853307843208313,0.05445358157157898
2,0.5208773016929626,0.4971909821033478,0.023686319589614868,0.30512920022010803,0.30653178691864014,0.0014025866985321045,0.7777956128120422,0.6873583793640137,0.09043723344802856
3,0.5045623779296875,0.5255369544029236,0.020974576473236084,0.735416829586029,0.7304494380950928,0.004967391490936279,0.5455473065376282,0.7138644456863403,0.16831713914871216
4,0.45952096581459045,0.4833904504776001,0.023869484663009644,0.5952972173690796,0.6068834662437439,0.011586248874664307,0.4306879937648773,0.5970927476882935,0.16640475392341614
5,0.5369313955307007,0.5597627758979797,0.022831380367279053,0.5843632221221924,0.5212404727935791,0.06312274932861328,0.5125136971473694,0.8252137899398804,0.312700092792511
6,0.5060813426971436,0.5058714151382446,0.00020992755889892578,0.4982461929321289,0.5740432739257812,0.07579708099365234,0.48978352546691895,0.6734670996665955,0.1836835741996765
7,0.4745071530342102,0.4343370795249939,0.04017007350921631,0.6449928283691406,0.6919940710067749,0.04700124263763428,0.5672740340232849,0.7411132454872131,0.17383921146392822
8,0.5337064266204834,0.5526477098464966,0.018941283226013184,0.5274803042411804,0.5599036812782288,0.03242337703704834,0.3787349462509155,0.3810531795024872,0.0023182332515716553
9,0.6850287914276123,0.7044554948806763,0.019426703453063965,0.6532726287841797,0.713542103767395,0.06026947498321533,0.5396462678909302,0.4560140371322632,0.08363223075866699
10,0.45330819487571716,0.4494110941886902,0.0038971006870269775,0.2748074233531952,0.27276715636253357,0.002040266990661621,0.37963005900382996,0.25039130449295044,0.12923875451087952
11,0.6190783381462097,0.610593855381012,0.008484482765197754,0.4741629958152771,0.4634818434715271,0.01068115234375,0.5833682417869568,0.628710925579071,0.04534268379211426
12,0.7429701089859009,0.7615042924880981,0.018534183502197266,0.5524670481681824,0.4991503953933716,0.05331665277481079,0.4541400671005249,0.5339658856391907,0.07982581853866577
13,0.5765929818153381,0.5855393409729004,0.008946359157562256,0.6467963457107544,0.5503504872322083,0.09644585847854614,0.527515172958374,0.7245625853538513,0.1970474123954773
14,0.3038390576839447,0.28098824620246887,0.02285081148147583,0.3893582224845886,0.41123080253601074,0.02187258005142212,0.39131319522857666,0.4390009641647339,0.04768776893615723
15,0.5504186749458313,0.5438079833984375,0.006610691547393799,0.6939093470573425,0.6355285048484802,0.058380842208862305,0.5203500390052795,0.4988931119441986,0.021456927061080933
16,0.33433014154434204,0.32747676968574524,0.006853371858596802,0.5844825506210327,0.5857412219047546,0.0012586712837219238,0.4497770667076111,0.31449463963508606,0.13528242707252502
17,0.6897280812263489,0.7235437035560608,0.033815622329711914,0.4548180103302002,0.44628486037254333,0.00853314995765686,0.5096138119697571,0.3056659698486328,0.20394784212112427
18,0.4717508554458618,0.5136194825172424,0.041868627071380615,0.6768306493759155,0.6328850984573364,0.0439455509185791,0.5387707948684692,0.7935448884963989,0.2547740936279297
19,0.31647738814353943,0.3791075050830841,0.06263011693954468,0.6758192777633667,0.8089934587478638,0.13317418098449707,0.4637297987937927,0.5552375912666321,0.09150779247283936
20,0.34488987922668457,0.35880792140960693,0.013918042182922363,0.31764546036720276,0.34031352400779724,0.022668063640594482,0.2687676250934601,0.1972699910402298,0.07149763405323029
21,0.5835007429122925,0.5596422553062439,0.023858487606048584,0.4363786578178406,0.4917168915271759,0.05533823370933533,0.38176679611206055,0.2025216817855835,0.17924511432647705
22,0.5663894414901733,0.5446908473968506,0.021698594093322754,0.324296772480011,0.3204549551010132,0.0038418173789978027,0.38705572485923767,0.3126365542411804,0.07441917061805725
23,0.6264455318450928,0.6234424114227295,0.0030031204223632812,0.20126157999038696,0.19780786335468292,0.0034537166357040405,0.5380350351333618,0.6037551760673523,0.06572014093399048
24,0.5796470642089844,0.5668929815292358,0.012754082679748535,0.719783365726471,0.7428398132324219,0.023056447505950928,0.47412294149398804,0.6347579956054688,0.1606350541114807
25,0.6445806622505188,0.6376368999481201,0.006943762302398682,0.2525104582309723,0.260996550321579,0.00848609209060669,0.6030628085136414,0.589069128036499,0.013993680477142334
26,0.5836209654808044,0.5739744901657104,0.009646475315093994,0.3640431761741638,0.3511849045753479,0.012858271598815918,0.728590190410614,0.6295069456100464,0.09908324480056763
27,0.41777846217155457,0.4145442247390747,0.0032342374324798584,0.7690247297286987,0.8622002601623535,0.09317553043365479,0.5058806538581848,0.5344936847686768,0.028613030910491943
28,0.41286271810531616,0.41950908303260803,0.00664636492729187,0.49542883038520813,0.4765046238899231,0.018924206495285034,0.6747861504554749,0.5568450093269348,0.11794114112854004
29,0.756038248538971,0.7703632712364197,0.01432502269744873,0.7028075456619263,0.6379531621932983,0.06485438346862793,0.5189592838287354,0.5624172687530518,0.043457984924316406
30,0.5601296424865723,0.552960991859436,0.0071686506271362305,0.46622955799102783,0.45207688212394714,0.014152675867080688,0.4652310609817505,0.539267361164093,0.07403630018234253
31,0.5513383746147156,0.531122624874115,0.020215749740600586,0.4819749891757965,0.5063630938529968,0.024388104677200317,0.6269781589508057,0.5657825469970703,0.06119561195373535
32,0.5544642210006714,0.552312433719635,0.002151787281036377,0.38817286491394043,0.42062145471572876,0.03244858980178833,0.4120227098464966,0.3986477851867676,0.013374924659729004
33,0.5417208075523376,0.5667816400527954,0.025060832500457764,0.45315438508987427,0.40636739134788513,0.046786993741989136,0.4089639186859131,0.40487435460090637,0.004089564085006714
34,0.34950271248817444,0.35786500573158264,0.008362293243408203,0.3696742653846741,0.3474966585636139,0.02217760682106018,0.383262038230896,0.41723597049713135,0.03397393226623535
35,0.7023115754127502,0.6817017793655396,0.020609796047210693,0.3708811402320862,0.31763267517089844,0.053248465061187744,0.47735607624053955,0.8335134387016296,0.3561573624610901
36,0.5084714889526367,0.4635372757911682,0.044934213161468506,0.49701517820358276,0.5503111481666565,0.05329596996307373,0.44051578640937805,0.5077354907989502,0.06721970438957214
37,0.5364813804626465,0.5106741786003113,0.025807201862335205,0.5920107364654541,0.6777185797691345,0.08570784330368042,0.6247249245643616,0.7390530705451965,0.11432814598083496
38,0.4524623453617096,0.4422186017036438,0.010243743658065796,0.3795001208782196,0.3537774384021759,0.0257226824760437,0.5721350312232971,0.44101378321647644,0.13112124800682068
39,0.3820391595363617,0.38818642497062683,0.006147265434265137,0.44594329595565796,0.41877448558807373,0.02716881036758423,0.525026798248291,0.4094962179660797,0.1155305802822113
40,0.7689234018325806,0.7442082762718201,0.024715125560760498,0.48307445645332336,0.38320401310920715,0.09987044334411621,0.5207310914993286,0.24075649678707123,0.2799745947122574
41,0.501273512840271,0.5024519562721252,0.001178443431854248,0.6993623971939087,0.7137770056724548,0.014414608478546143,0.5351684093475342,0.3474280536174774,0.18774035573005676
42,0.43697911500930786,0.42473411560058594,0.012244999408721924,0.25911563634872437,0.28462183475494385,0.025506198406219482,0.68409264087677,0.6564942002296448,0.027598440647125244
43,0.16277895867824554,0.16946792602539062,0.006688967347145081,0.5689233541488647,0.5799757838249207,0.011052429676055908,0.4157469868659973,0.4173368215560913,0.0015898346900939941
44,0.19943931698799133,0.18939566612243652,0.01004365086555481,0.3639461398124695,0.3320208191871643,0.031925320625305176,0.5172016620635986,0.7073720693588257,0.19017040729522705
45,0.488078773021698,0.49495166540145874,0.006872892379760742,0.6246241331100464,0.6474680304527283,0.022843897342681885,0.3929213583469391,0.3493668735027313,0.043554484844207764
46,0.4806564450263977,0.45680755376815796,0.023848891258239746,0.3757815659046173,0.3917248249053955,0.015943259000778198,0.6929752826690674,0.7488570809364319,0.0558817982673645
47,0.5203124284744263,0.5282301306724548,0.007917702198028564,0.6431999206542969,0.5940656065940857,0.04913431406021118,0.4603720009326935,0.6580082774162292,0.19763627648353577
48,0.34102925658226013,0.2538674771785736,0.08716177940368652,0.6206416487693787,0.6623332500457764,0.041691601276397705,0.5061564445495605,0.6438483595848083,0.1376919150352478
49,0.40925270318984985,0.3804551661014557,0.028797537088394165,0.31067293882369995,0.300470769405365,0.010202169418334961,0.5865304470062256,0.700202226638794,0.11367177963256836
