Runs,Fault Location (SVI),Fault Location (True),Fault Location (RMSE),Z_fault_real (SVI),Z_fault_real (True),Z_fault_real RMSE,Z_fault_imag (SVI),Z_fault_imag (True),Z_fault_imag RMSE
1,0.6977493762969971,0.5916216373443604,0.10612773895263672,0.4701229929924011,0.5311282873153687,0.06100529432296753,0.4841579794883728,0.45853307843208313,0.025624901056289673
2,0.45730504393577576,0.4971909821033478,0.03988593816757202,0.413482129573822,0.30653178691864014,0.10695034265518188,0.4969669282436371,0.6873583793640137,0.1903914511203766
3,0.5716307163238525,0.5255369544029236,0.046093761920928955,0.5727553963661194,0.7304494380950928,0.1576940417289734,0.5080991983413696,0.7138644456863403,0.2057652473449707
4,0.4630519151687622,0.4833904504776001,0.02033853530883789,0.558320164680481,0.6068834662437439,0.04856330156326294,0.5257843136787415,0.5970927476882935,0.071308434009552
5,0.5592992305755615,0.5597627758979797,0.0004635453224182129,0.5761028528213501,0.5212404727935791,0.054862380027770996,0.5102057456970215,0.8252137899398804,0.3150080442428589
6,0.6635127067565918,0.5058714151382446,0.15764129161834717,0.36478257179260254,0.5740432739257812,0.2092607021331787,0.4960951805114746,0.6734670996665955,0.17737191915512085
7,0.49722570180892944,0.4343370795249939,0.06288862228393555,0.5357213616371155,0.6919940710067749,0.15627270936965942,0.5251031517982483,0.7411132454872131,0.21601009368896484
8,0.5519798994064331,0.5526477098464966,0.0006678104400634766,0.5755764842033386,0.5599036812782288,0.015672802925109863,0.49203407764434814,0.3810531795024872,0.11098089814186096
9,0.6362949013710022,0.7044554948806763,0.06816059350967407,0.4719621539115906,0.713542103767395,0.24157994985580444,0.4754178822040558,0.4560140371322632,0.019403845071792603
10,0.4203234314918518,0.4494110941886902,0.02908766269683838,0.4142867922782898,0.27276715636253357,0.14151963591575623,0.49684882164001465,0.25039130449295044,0.2464575171470642
11,0.7019528746604919,0.610593855381012,0.09135901927947998,0.5258638262748718,0.4634818434715271,0.06238198280334473,0.5110204815864563,0.628710925579071,0.11769044399261475
