parameter,q_mean_normalized,true_normalized,error
load_1.C_m_leak,0.21483688056468964,0.25,-0.035163119435310364
load_20.C_m_leak,0.20861563086509705,0.25,-0.041384369134902954
load_0.C_m_leak,0.24782726168632507,0.25,-0.0021727383136749268
load_11.C_m_leak,0.204316645860672,0.25,-0.045683354139328
load_9.C_m_leak,0.17690502107143402,0.25,-0.07309497892856598
load_2.C_leak,0.2839219570159912,0.25,0.03392195701599121
load_3.C_m_leak,0.20320159196853638,0.25,-0.04679840803146362
load_15.C_m_leak,0.1827240288257599,0.25,-0.06727597117424011
load_8.C_m_leak,0.2296132594347,0.25,-0.020386740565299988
load_6.C_m_leak,0.3164840638637543,0.25,0.06648406386375427
load_18.C_m_leak,0.29602116346359253,0.25,0.04602116346359253
load_21.C_leak,0.24067607522010803,0.25,-0.009323924779891968
l_w_4,0.20909886062145233,0.25,-0.04090113937854767
load_2.R_const,0.3519774377346039,0.25,0.10197743773460388
l_w_3,0.29299429059028625,0.25,0.042994290590286255
load_1.C_m,0.4362083077430725,0.25,0.1862083077430725
l_w_1,0.25829654932022095,0.25,0.008296549320220947
load_13.C_leak,0.32186222076416016,0.25,0.07186222076416016
load_7.C_d_leak,0.5029491186141968,0.25,0.2529491186141968
load_14.C_leak,0.14871595799922943,0.25,-0.10128404200077057
load_21.R_const,0.29340383410453796,0.25,0.043403834104537964
load_0.C_m,0.2628870904445648,0.25,0.01288709044456482
load_19.R_const,0.3966733515262604,0.25,0.14667335152626038
load_4.C_d_leak,0.2082531601190567,0.25,-0.0417468398809433
load_16.C_d_leak,0.21771401166915894,0.25,-0.032285988330841064
l_w_25,0.21796834468841553,0.25,-0.03203165531158447
load_20.C_m,0.47617459297180176,0.25,0.22617459297180176
load_10.C_d_leak,0.34050342440605164,0.25,0.09050342440605164
l_w_28,0.2601238489151001,0.25,0.010123848915100098
load_19.C_leak,0.3034447431564331,0.25,0.053444743156433105
l_w_27,0.3435715138912201,0.25,0.09357151389122009
load_11.C_m,0.4153881072998047,0.25,0.1653881072998047
load_5.R_const,0.37265661358833313,0.25,0.12265661358833313
load_17.R_const,0.351153165102005,0.25,0.101153165102005
load_9.C_m,0.332517147064209,0.25,0.08251714706420898
load_12.C_leak,0.40752801299095154,0.25,0.15752801299095154
l_w_14,0.212975412607193,0.25,-0.03702458739280701
l_w_9,0.24241767823696136,0.25,-0.007582321763038635
l_w_24,0.23836638033390045,0.25,-0.011633619666099548
l_w_19,0.21326933801174164,0.25,-0.03673066198825836
load_12.R_const,0.3792819678783417,0.25,0.12928196787834167
load_3.C_m,0.38359886407852173,0.25,0.13359886407852173
load_15.C_m,0.37354227900505066,0.25,0.12354227900505066
load_8.C_m,0.3782292604446411,0.25,0.1282292604446411
l_w_0,0.24862700700759888,0.25,-0.001372992992401123
l_w_2,0.43993327021598816,0.25,0.18993327021598816
load_14.R_const,0.2574494779109955,0.25,0.007449477910995483
load_13.R_const,0.11198284476995468,0.25,-0.13801715523004532
load_5.C_leak,0.4821312129497528,0.25,0.2321312129497528
load_17.C_leak,0.4839644730091095,0.25,0.2339644730091095
load_6.C_m,0.44638609886169434,0.25,0.19638609886169434
load_18.C_m,0.43995755910873413,0.25,0.18995755910873413
l_w_18,0.2682591676712036,0.25,0.018259167671203613
l_w_16,0.2630610466003418,0.25,0.013061046600341797
l_w_11,0.2701379656791687,0.25,0.0201379656791687
l_w_8,0.31244540214538574,0.25,0.06244540214538574
l_w_23,0.31797751784324646,0.25,0.06797751784324646
l_w_13,0.2974587082862854,0.25,0.0474587082862854
l_w_6,0.3461083173751831,0.25,0.0961083173751831
l_w_21,0.3529488742351532,0.25,0.1029488742351532
load_1.R_m1,0.48464325070381165,0.25,0.23464325070381165
l_w_29,0.42920589447021484,0.25,0.17920589447021484
load_11.R_m1,0.4154312014579773,0.25,0.1654312014579773
load_0.R_m1,0.4629841148853302,0.25,0.2129841148853302
load_9.R_m1,0.4210575520992279,0.25,0.1710575520992279
l_w_10,0.4801417291164398,0.25,0.23014172911643982
load_3.R_m1,0.42182987928390503,0.25,0.17182987928390503
load_15.R_m1,0.4359637498855591,0.25,0.18596374988555908
l_w_15,0.5009044408798218,0.25,0.2509044408798218
