parameter,q_mean_normalized,true_normalized,error
load_1.C_m_leak,0.21448291838169098,0.25,-0.03551708161830902
load_20.C_m_leak,0.20898307859897614,0.25,-0.041016921401023865
load_0.C_m_leak,0.2560005486011505,0.25,0.006000548601150513
load_11.C_m_leak,0.283958375453949,0.25,0.033958375453948975
load_9.C_m_leak,0.16037657856941223,0.25,-0.08962342143058777
load_2.C_leak,0.32494229078292847,0.25,0.07494229078292847
load_3.C_m_leak,0.1345164179801941,0.25,-0.11548358201980591
load_15.C_m_leak,0.18301762640476227,0.25,-0.06698237359523773
load_8.C_m_leak,0.2572736144065857,0.25,0.007273614406585693
load_6.C_m_leak,0.22821255028247833,0.25,-0.021787449717521667
load_18.C_m_leak,0.3253920376300812,0.25,0.07539203763008118
load_21.C_leak,0.19467177987098694,0.25,-0.05532822012901306
l_w_4,0.17407606542110443,0.25,-0.07592393457889557
load_2.R_const,0.25106915831565857,0.25,0.0010691583156585693
l_w_3,0.2177157998085022,0.25,-0.0322842001914978
load_1.C_m,0.37232738733291626,0.25,0.12232738733291626
l_w_1,0.197371244430542,0.25,-0.05262875556945801
load_13.C_leak,0.25085315108299255,0.25,0.0008531510829925537
load_7.C_d_leak,0.46273958683013916,0.25,0.21273958683013916
load_14.C_leak,0.15119321644306183,0.25,-0.09880678355693817
load_21.R_const,0.28875720500946045,0.25,0.03875720500946045
load_0.C_m,0.2782222330570221,0.25,0.028222233057022095
load_19.R_const,0.5038177967071533,0.25,0.2538177967071533
load_4.C_d_leak,0.2021883875131607,0.25,-0.047811612486839294
load_16.C_d_leak,0.1817699372768402,0.25,-0.06823006272315979
l_w_25,0.24743600189685822,0.25,-0.0025639981031417847
load_20.C_m,0.4194098711013794,0.25,0.1694098711013794
load_10.C_d_leak,0.20735056698322296,0.25,-0.04264943301677704
l_w_28,0.27188602089881897,0.25,0.02188602089881897
load_19.C_leak,0.3382725417613983,0.25,0.08827254176139832
l_w_27,0.36098548769950867,0.25,0.11098548769950867
